Nombre,Porcentaje de acciones en circulación
Ortega Gaona (Amancio),59.29
Ortega Mera (Sandra),5.05
Capital World Investors,0.92
NBIM,0.92
The Vanguard Group Inc.,0.84
Baillie Gifford & Co.,0.83
Amundi Asset Management,0.68
SIM Ltd.,0.66
OppenheimerFunds Inc.,0.57
BlackRock Institutional Company,0.51
BlackRock Investment Management,0.49
Lyxor Asset Management,0.48
Fidelity International,0.37
Comgest S.A.,0.32
Allianz Global Investors GmbH,0.28
Jennison Associates LLC,0.27
BlackRock Advisors (UK) Limited,0.26
Fidelity Management & Research Company,0.22
Caixabank,0.19
BlackRock Asset Management,0.18
